date,time,comp_level_ft,temperature,year,month,wy
2024-11-14,17:15:49,1.1811023622047243,17.4,2024,11,2025
2024-11-14,17:30:49,1.1778215223097113,17.2,2024,11,2025
2024-11-14,17:45:49,1.1778215223097113,17.1,2024,11,2025
2024-11-14,18:00:49,1.1843832020997376,17.2,2024,11,2025
2024-11-14,18:15:49,1.1843832020997376,17.1,2024,11,2025
2024-11-14,18:30:49,1.2007874015748032,17.2,2024,11,2025
2024-11-14,18:45:49,1.1909448818897639,17.2,2024,11,2025
2024-11-14,19:00:49,1.1876640419947506,17.2,2024,11,2025
2024-11-14,19:15:49,1.1909448818897639,17.2,2024,11,2025
2024-11-14,19:30:49,1.1778215223097113,17.2,2024,11,2025
2024-11-14,19:45:49,1.1909448818897639,17.2,2024,11,2025
2024-11-14,20:00:49,1.171259842519685,17,2024,11,2025
2024-11-14,20:15:49,1.1876640419947506,16.9,2024,11,2025
2024-11-14,20:30:49,1.2106299212598426,17,2024,11,2025
2024-11-14,20:45:49,1.2007874015748032,17,2024,11,2025
2024-11-14,21:00:49,1.1909448818897639,17,2024,11,2025
2024-11-14,21:15:49,1.1811023622047243,17,2024,11,2025
2024-11-14,21:30:49,1.1909448818897639,17,2024,11,2025
2024-11-14,21:45:49,1.1843832020997376,17,2024,11,2025
2024-11-14,22:00:49,1.1811023622047243,17,2024,11,2025
2024-11-14,22:15:49,1.194225721784777,17,2024,11,2025
2024-11-14,22:30:49,1.194225721784777,17,2024,11,2025
2024-11-14,22:45:49,1.1876640419947506,17,2024,11,2025
2024-11-14,23:00:49,1.2007874015748032,17,2024,11,2025
2024-11-14,23:15:49,1.194225721784777,17,2024,11,2025
2024-11-14,23:30:49,1.1909448818897639,16.9,2024,11,2025
2024-11-14,23:45:49,1.1843832020997376,16.9,2024,11,2025
2024-11-15,00:00:49,1.1811023622047243,16.9,2024,11,2025
2024-11-15,00:15:49,1.1811023622047243,16.9,2024,11,2025
2024-11-15,00:30:49,1.171259842519685,16.8,2024,11,2025
2024-11-15,00:45:49,1.1811023622047243,16.8,2024,11,2025
2024-11-15,01:00:49,1.1778215223097113,16.8,2024,11,2025
2024-11-15,01:15:49,1.1843832020997376,16.8,2024,11,2025
2024-11-15,01:30:49,1.1876640419947506,16.7,2024,11,2025
2024-11-15,01:45:49,1.1876640419947506,16.7,2024,11,2025
2024-11-15,02:00:49,1.2073490813648293,16.7,2024,11,2025
2024-11-15,02:15:49,1.2040682414698163,16.6,2024,11,2025
2024-11-15,02:30:49,1.2139107611548556,16.5,2024,11,2025
2024-11-15,02:45:49,1.1843832020997376,16.3,2024,11,2025
2024-11-15,03:00:49,1.1876640419947506,16.4,2024,11,2025
2024-11-15,03:15:49,1.2106299212598426,16.4,2024,11,2025
2024-11-15,03:30:49,1.2040682414698163,16.2,2024,11,2025
2024-11-15,03:45:49,1.2139107611548556,16,2024,11,2025
2024-11-15,04:00:49,1.2073490813648293,15.9,2024,11,2025
2024-11-15,04:15:49,1.2007874015748032,15.9,2024,11,2025
2024-11-15,04:30:49,1.1909448818897639,15.8,2024,11,2025
2024-11-15,04:45:49,1.167979002624672,15.6,2024,11,2025
2024-11-15,05:00:49,1.1876640419947506,15.7,2024,11,2025
2024-11-15,05:15:49,1.19750656167979,15.6,2024,11,2025
2024-11-15,05:30:49,1.1909448818897639,15.5,2024,11,2025
2024-11-15,05:45:49,1.19750656167979,15.6,2024,11,2025
2024-11-15,06:00:49,1.194225721784777,15.5,2024,11,2025
2024-11-15,06:15:49,1.2040682414698163,15.3,2024,11,2025
2024-11-15,06:30:49,1.2007874015748032,15.4,2024,11,2025
2024-11-15,06:45:49,1.2073490813648293,14.7,2024,11,2025
2024-11-15,07:00:49,1.2139107611548556,15.1,2024,11,2025
2024-11-15,07:15:49,1.2040682414698163,14.6,2024,11,2025
2024-11-15,07:30:49,1.2007874015748032,14.3,2024,11,2025
2024-11-15,07:45:49,1.2106299212598426,14.9,2024,11,2025
2024-11-15,08:00:49,1.1811023622047243,14.3,2024,11,2025
2024-11-15,08:15:49,1.19750656167979,14.7,2024,11,2025
